Ticker,Company Name,monthly_return,capm_beta,book_price,CAP,GPM
CDR,"Cedar Realty Trust, Inc.",-3.02,0.94338703,0.84047186,494.29025,43.739105
CELG,Celgene Corporation,-21.76,1.7915763,0.083944276,114774.92,92.548134
CNC,Centene Corporation,#N/A,0.6596818,0.3660659,16699.21,#N/A
CNP,"CenterPoint Energy, Inc.",-0.61,0.64653075,0.27159432,12590.412,17.097416
CENT,Central Garden & Pet Company,-2.26,0.026238808,0.2836222,2009.8245,30.237558
CENTA,Central Garden & Pet Company Class A,-1.64,0.26520422,0.2933811,1924.4431,30.237558
CPF,Central Pacific Financial Corp.,#N/A,1.1800853,0.5265661,971.4739,#N/A
CENX,Century Aluminum Company,-11.22,0.4583139,0.6194402,1447.8809,-0.82306683
CTL,"CenturyLink, Inc.",-1.1,0.8955271,1.290986,10390.143,33.08529
CERN,Cerner Corporation,-4.99,0.94320506,0.1764783,23700.53,78.94507
CEVA,"CEVA, Inc.",7.31,0.7679359,0.20588703,936.78217,89.91644
CF,"CF Industries Holdings, Inc.",3.84,1.1687744,0.37814802,8201.319,15.739484
CRL,"Charles River Laboratories International, Inc.",3.68,0.94220275,0.15192299,5140.2393,35.871864
SCHW,Charles Schwab Corporation,-0.03,1.731852,0.22821093,58533.043,89.53854
GTLS,"Chart Industries, Inc.",6,1.2948858,0.5236009,1207.0204,31.295204
CHTR,"Charter Communications, Inc. Class A",-6.97,1.0915846,0.44669574,90350.01,29.038376
CLDT,Chatham Lodging Trust,0.63,1.032842,0.81097203,849.3776,24.016407
CAKE,Cheesecake Factory Incorporated,2.89,0.29038224,0.2826971,2009.2938,15.850727
CHE,Chemed Corporation,5.65,1.1464273,0.14491618,3208.689,27.066847
CHFC,Chemical Financial Corporation,#N/A,1.131679,0.69398314,3718.4033,#N/A
CC,Chemours Co.,6.32,3.3564065,0.009673971,9367.509,21.37037
CHK,Chesapeake Energy Corporation,-7.3,2.1845098,-0.92559445,3897.2568,1.2168269
CHSP,Chesapeake Lodging Trust,1.12,1.0971386,0.71395415,1621.3035,20.910458
CVX,Chevron Corporation,-2.76,1.2220855,0.6640126,223176.44,9.445711
CHS,"Chico's FAS, Inc.",-8.04,0.68590057,0.59215647,1148.4082,38.234215
PLCE,"Children's Place, Inc.",-6.31,0.2684439,0.25738975,2088.892,33.918873
CMG,"Chipotle Mexican Grill, Inc.",-8.97,0.43934557,0.1790144,8707.587,9.011566
CB,Chubb Limited,#N/A,0.9632326,0.6869206,66165.8,#N/A
CHD,"Church & Dwight Co., Inc.",-5.83,0.53202856,0.17241853,12077.805,45.675762
CHDN,Churchill Downs Incorporated,-0.48,0.88033485,0.1990657,3175.48,24.117376
CHUY,"Chuy's Holdings, Inc.",3.58,-0.006106225,0.41454497,355.82965,15.473075
CIEN,Ciena Corporation,-3.29,1.6296256,0.25777927,3134.521,42.896355
CI,Cigna Corporation,#N/A,0.48182625,0.2708859,46254.043,#N/A
XEC,Cimarex Energy Co.,0.45,1.3530296,0.18367589,10837.475,32.024387
CBB,Cincinnati Bell Inc.,-3.48,1.482043,-0.31259567,837.3133,27.382359
CINF,Cincinnati Financial Corporation,#N/A,0.91331995,0.61200005,12557.4795,#N/A
CNK,"Cinemark Holdings, Inc.",-1.04,1.1809549,0.29879087,4217.2783,20.199812
CTAS,Cintas Corporation,0.68,0.8620825,0.14826143,15319.589,44.71397
CIR,"CIRCOR International, Inc.",-13.55,1.5468932,0.5595251,898.1244,31.666603
CRUS,"Cirrus Logic, Inc.",2.03,0.063450605,0.31986827,3394.623,49.242657
